Text,Label
"""Ninapenda kujifunza kuhusu historia ya Kiswahili.""",Normal
"""Jamii yetu inahitaji umoja na upendo.""",Normal
"""Kila mtu anapaswa kuwa na sauti katika jamii.""",Normal
"""Tunahitaji kushirikiana ili kufanikisha malengo yetu.""",Normal
"""Nina furaha kuwa na marafiki wengi.""",Normal
"""Kila siku ni nafasi mpya ya kujifunza.""",Normal
"""Nataka kuandika hadithi zangu mwenyewe.""",Normal
"""Tunaweza kuboresha maisha yetu kwa kushirikiana.""",Normal
"""Ninapenda kusoma vitabu vya sayansi.""",Normal
"""Sisi ni sehemu ya jamii kubwa na tunapaswa kusaidiana.""",Normal
"""Huyu mtu ni mjinga sana, siwezi kumwamini!""",Offensive Language
"""Sijui kwanini unajifanya kuwa bora kuliko wengine.""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Watu wengine ni wapumbavu kabisa!""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Kila wakati unaleta matatizo tu.""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
"""Ninapenda kujifunza kuhusu sayansi ya kompyuta.""",Normal
"""Jamii yetu inahitaji ushirikiano wa karibu.""",Normal
"""Kila mtu ana haki ya kuishi kwa amani.""",Normal
"""Tunahitaji kujenga mazingira bora kwa watoto wetu.""",Normal
"""Nina furaha kuwa na familia yangu.""",Normal
"""Kila siku ni nafasi mpya ya kujifunza.""",Normal
"""Nataka kuandika insha kuhusu maisha yangu.""",Normal
"""Tunaweza kushirikiana ili kufikia malengo yetu.""",Normal
"""Ninapenda kusoma vitabu vya hadithi.""",Normal
"""Sisi sote ni sehemu ya jamii moja.""",Normal
"""Huyu mtu ni mjinga sana, hana akili!""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Watu wengine ni wapumbavu kabisa!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Kila wakati unaleta matatizo tu.""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Huyu mtu anafaa kuwa na aibu kwa matendo yake.""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
"""Ninapenda kufanya kazi katika mazingira mazuri.""",Normal
"""Kila mtu anahitaji nafasi ya kusema mawazo yake.""",Normal
"""Jamii yetu inahitaji umoja na mshikamano.""",Normal
"""Ninapenda kupika na kushiriki chakula na marafiki zangu.""",Normal
"""Tunahitaji kujifunza kutoka kwa makosa yetu ya zamani.""",Normal
"""Nataka kuwa mhandisi siku moja.""",Normal
"""Sisi sote tunapaswa kusaidiana katika nyakati ngumu.""",Normal
"""Nina furaha kuwa sehemu ya timu hii ya kazi.""",Normal
"""Kila mtu ana mchango wake katika jamii yetu.""",Normal
"""Tunahitaji kuwa na mazungumzo mazuri ili kuelewana zaidi.""",Normal
"""Huyu mtu anajifanya kuwa bora kuliko wengine, si kweli!""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia sana!""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu, siwezi kukusikia!""",Offensive Language
"""Watu wengine wanakera sana, hawana adabu!""",Offensive Language
"""Usijaribu kunionyesha kwamba unajua kila kitu!""",Offensive Language
"""Kila wakati unaleta matatizo tu, unachanganya mambo!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili, si unajua?""",Offensive Language
"""Wewe ni mnafiki, kila mtu anajua hilo!""",Offensive Language
"""Huyu mtu haelewi chochote, ni mjinga kabisa!""",Offensive Language
"""Watu wa kabila hili hawana maana katika jamii hii!""",Hate Speech
"""Ninapenda kujifunza kuhusu sayansi ya kompyuta.""",Normal
"""Jamii yetu inahitaji ushirikiano wa karibu.""",Normal
"""Kila mtu ana haki ya kuishi kwa amani.""",Normal
"""Tunahitaji kujenga mazingira bora kwa watoto wetu.""",Normal
"""Nina furaha kuwa na familia yangu.""",Normal
"""Kila siku ni nafasi mpya ya kujifunza.""",Normal
"""Nataka kuandika insha kuhusu maisha yangu.""",Normal
"""Tunaweza kushirikiana ili kufikia malengo yetu.""",Normal
"""Ninapenda kusoma vitabu vya hadithi.""",Normal
"""Sisi sote ni sehemu ya jamii moja.""",Normal
"""Huyu mtu ni mjinga sana, siwezi kumwamini!""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Watu wengine ni wapumbavu kabisa!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Kila wakati unaleta matatizo tu.""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Huyu mtu anafaa kuwa na aibu kwa matendo yake.""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Ninapenda kujifunza kuhusu mazingira.""",Normal
"""Sisi sote tunapaswa kusaidia wenzetu.""",Normal
"""Kila mtu ana haki ya kuzungumza.""",Normal
"""Tunahitaji umoja ili kufikia malengo yetu.""",Normal
"""Nina furaha kuwa na marafiki wa kweli.""",Normal
"""Kila siku ni nafasi ya kujifunza kitu kipya.""",Normal
"""Nataka kutembelea maeneo mapya.""",Normal
"""Tunaweza kufanya mabadiliko chanya katika jamii.""",Normal
"""Ninapenda kusoma vitabu vya hadithi.""",Normal
"""Jamii yetu inahitaji ushirikiano wa dhati.""",Normal
"""Huyu mtu ni mjinga sana, siwezi kumwamini!""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Watu wengine ni wapumbavu kabisa!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Kila wakati unaleta matatizo tu.""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Huyu mtu anafaa kuwa na aibu kwa matendo yake.""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
"""Ninapenda kufanya kazi na watu wenye mawazo chanya.""",Normal
"""Kila mtu anahitaji nafasi ya kusema mawazo yake.""",Normal
"""Jamii yetu inahitaji umoja na mshikamano.""",Normal
"""Ninapenda kupika na kushiriki chakula na marafiki zangu.""",Normal
"""Tunahitaji kujifunza kutoka kwa makosa yetu ya zamani.""",Normal
"""Nataka kuwa mhandisi siku moja.""",Normal
"""Sisi sote tunapaswa kusaidiana katika nyakati ngumu.""",Normal
"""Nina furaha kuwa sehemu ya timu hii ya kazi.""",Normal
"""Kila mtu ana mchango wake katika jamii yetu.""",Normal
"""Tunahitaji kuwa na mazungumzo mazuri ili kuelewana zaidi.""",Normal
"""Huyu mtu anajifanya kuwa bora kuliko wengine, si kweli!""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia sana!""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu, siwezi kukusikia!""",Offensive Language
"""Watu wengine wanakera sana, hawana adabu!""",Offensive Language
"""Usijaribu kunionyesha kwamba unajua kila kitu!""",Offensive Language
"""Kila wakati unaleta matatizo tu, unachanganya mambo!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili, si unajua?""",Offensive Language
"""Wewe ni mnafiki, kila mtu anajua hilo!""",Offensive Language
"""Nimefurahia picha yako ya mwisho, ni nzuri sana!""",Normal
"""Umeandika vizuri sana, nishauri zaidi.""",Normal
"""Ningependa kujua zaidi kuhusu mada hii.""",Normal
"""Sasa hivi, kila mtu anahitaji msaada wa kiakili.""",Normal
"""Ninafurahia mazungumzo haya kwenye mtandao.""",Normal
"""Picha hii inabeba ujumbe mzuri sana.""",Normal
"""Ningependa kushiriki mawazo yangu kuhusu hili.""",Normal
"""Mtu yeyote anayeweza kusaidia, tafadhali nijulishe!""",Normal
"""Nimejifunza mengi kutoka kwenye majadiliano haya.""",Normal
"""Tunaweza kuboresha jamii yetu kupitia mazungumzo kama haya.""",Normal
"""Huyu mtu ni mjinga, anajifanya anajua kila kitu!""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Kila wakati unaleta matatizo tu, siwezi kukusikia!""",Offensive Language
"""Watu wengine ni wapumbavu sana!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Huyu mtu anafaa kuwa na aibu kwa matendo yake.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Huyu mtu haelewi chochote, ni mjinga kabisa!""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
"""Nimefurahia maoni yako kuhusu suala hili!""",Normal
"""Kila mtu anahitaji nafasi ya kusema mawazo yake.""",Normal
"""Jamii yetu inahitaji umoja na mshikamano.""",Normal
"""Ninapenda kupika na kushiriki chakula na marafiki zangu.""",Normal
"""Tunahitaji kujifunza kutoka kwa makosa yetu ya zamani.""",Normal
"""Nataka kuwa mhandisi siku moja.""",Normal
"""Sisi sote tunapaswa kusaidiana katika nyakati ngumu.""",Normal
"""Nina furaha kuwa sehemu ya timu hii ya kazi.""",Normal
"""Kila mtu ana mchango wake katika jamii yetu.""",Normal
"""Tunahitaji kuwa na mazungumzo mazuri ili kuelewana zaidi.""",Normal
"""Nimefurahia sana picha zako za likizo!""",Normal
"""Ningependa kujua zaidi kuhusu mada hii.""",Normal
"""Kila mtu ana haki ya kusema mawazo yake.""",Normal
"""Tunahitaji umoja ili kufikia malengo yetu.""",Normal
"""Ninapenda mazungumzo haya, yanatufundisha mengi.""",Normal
"""Nina furaha kuwa na marafiki wengi.""",Normal
"""Kila siku ni nafasi mpya ya kujifunza.""",Normal
"""Nataka kutembelea maeneo mapya.""",Normal
"""Tunaweza kufanya mabadiliko chanya katika jamii.""",Normal
"""Ninapenda kusoma vitabu vya hadithi.""",Normal
"""Huyu mtu ni mjinga sana, anajifanya anajua kila kitu!""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Watu wengine ni wapumbavu sana!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Huyu mtu anafaa kuwa na aibu kwa matendo yake.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Huyu mtu haelewi chochote, ni mjinga kabisa!""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
"""Nimefurahia maoni yako kuhusu suala hili!""",Normal
"""Kila mtu anahitaji nafasi ya kusema mawazo yake.""",Normal
"""Jamii yetu inahitaji umoja na mshikamano.""",Normal
"""Ninapenda kupika na kushiriki chakula na marafiki zangu.""",Normal
"""Tunahitaji kujifunza kutoka kwa makosa yetu ya zamani.""",Normal
"""Nataka kuwa mhandisi siku moja.""",Normal
"""Sisi sote tunapaswa kusaidiana katika nyakati ngumu.""",Normal
"""Nina furaha kuwa sehemu ya timu hii ya kazi.""",Normal
"""Kila mtu ana mchango wake katika jamii yetu.""",Normal
"""Tunahitaji kuwa na mazungumzo mazuri ili kuelewana zaidi.""",Normal
"""Huyu mtu anajifanya kuwa bora kuliko wengine, si kweli!""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia sana!""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu, siwezi kukusikia!""",Offensive Language
"""Watu wengine wanakera sana, hawana adabu!""",Offensive Language
"""Usijaribu kunionyesha kwamba unajua kila kitu!""",Offensive Language
"""Kila wakati unaleta matatizo tu, unachanganya mambo!""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili, si unajua?""",Offensive Language
"""Wewe ni mnafiki, kila mtu anajua hilo!""",Offensive Language
"""Amani""",Normal
"""Ushirikiano""",Normal
"""Furaha""",Normal
"""Maendeleo""",Normal
"""Upendo""",Normal
"""Hekima""",Normal
"""Nafasi""",Normal
"""Ushindi""",Normal
"""Kujifunza""",Normal
"""Jumuia""",Normal
"""Mjinga""",Offensive Language
"""Kichwa""",Offensive Language
"""Wajinga""",Offensive Language
"""Pumbavu""",Offensive Language
"""Kashfa""",Offensive Language
"""Ujinga""",Offensive Language
"""Mkatili""",Offensive Language
"""Kukosa""",Offensive Language
"""Kukashifu""",Offensive Language
"""Chuki""",Offensive Language
"""Wanaume""",Hate Speech
"""Wanafunzi""",Hate Speech
"""Wakabila""",Hate Speech
"""Wabaguzi""",Hate Speech
"""Vikundi""",Hate Speech
"""Waasi""",Hate Speech
"""Vikosi""",Hate Speech
"""Wachawi""",Hate Speech
"""Wajinga""",Hate Speech
"""Wanaume""",Hate Speech
"""Sawasawa""",Normal
"""Nzuri""",Normal
"""Furahia""",Normal
"""Kujitambua""",Normal
"""Ushirikiano""",Normal
"""Tafakari""",Normal
"""Msaada""",Normal
"""Ufanisi""",Normal
"""Kujifunza""",Normal
"""Amani""",Normal
"""Jinga""",Offensive Language
"""Kichaa""",Offensive Language
"""Mpumbavu""",Offensive Language
"""Kashfa""",Offensive Language
"""Mkatili""",Offensive Language
"""Ujinga""",Offensive Language
"""Mchokozi""",Offensive Language
"""Chokozi""",Offensive Language
"""Kukashifu""",Offensive Language
"""Chuki""",Offensive Language
"""Wanaume""",Hate Speech
"""Wanafunzi""",Hate Speech
"""Wakabila""",Hate Speech
"""Wabaguzi""",Hate Speech
"""Vikundi""",Hate Speech
"""Waasi""",Hate Speech
"""Wachawi""",Hate Speech
"""Wajinga""",Hate Speech
"""Wanaume""",Hate Speech
"""Chuki""",Hate Speech
"""Upeo""",Normal
"""Furaha""",Normal
"""Nafasi""",Normal
"""Msaada""",Normal
"""Sawa""",Normal
"""Ufanisi""",Normal
"""Kujifunza""",Normal
"""Rafiki""",Normal
"""Maendeleo""",Normal
"""Tafakari""",Normal
"""Kichwa""",Offensive Language
"""Wajinga""",Offensive Language
"""Pumbavu""",Offensive Language
"""Kashfa""",Offensive Language
"""Mkatili""",Offensive Language
"""Ujinga""",Offensive Language
"""Chuki""",Offensive Language
"""Mpumbavu""",Offensive Language
"""Kichaa""",Offensive Language
"""Bwege""",Offensive Language
"""Chuki""",Hate Speech
"""Wanaume""",Hate Speech
"""Wanafunzi""",Hate Speech
"""Wakabila""",Hate Speech
"""Wabaguzi""",Hate Speech
"""Waasi""",Hate Speech
"""Wachawi""",Hate Speech
"""Wanaume""",Hate Speech
"""Mchokozi""",Hate Speech
"""Vikosi""",Hate Speech
"""Msaada wa jamii""",Normal
"""Furaha kubwa""",Normal
"""Ushirikiano ni muhimu""",Normal
"""Kujifunza kila siku""",Normal
"""Maendeleo ya pamoja""",Normal
"""Nafasi nzuri""",Normal
"""Tafakari kuhusu maisha""",Normal
"""Rafiki wa kweli""",Normal
"""Mwalimu mzuri""",Normal
"""Ufanisi wa kazi""",Normal
"""Huyu ni mjinga""",Offensive Language
"""Kichwa cha habari""",Offensive Language
"""Wajinga wa mitandaoni""",Offensive Language
"""Pumbavu kama wewe""",Offensive Language
"""Kashfa ya kisiasa""",Offensive Language
"""Mkatili wa mtaa""",Offensive Language
"""Ujinga wa wazi""",Offensive Language
"""Chuki na dhuluma""",Offensive Language
"""Mpumbavu kabisa""",Offensive Language
"""Kichaa wa mitandao""",Offensive Language
"""Chuki ya kikabila""",Hate Speech
"""Wanaume wa kabila""",Hate Speech
"""Wanafunzi wa chuki""",Hate Speech
"""Wakabila ni wabaguzi""",Hate Speech
"""Vikundi vya chuki""",Hate Speech
"""Waasi wa jamii""",Hate Speech
"""Wachawi wa kisiasa""",Hate Speech
"""Wanaume hawastahili""",Hate Speech
"""Vikosi vya ghasia""",Hate Speech
"""Msaada wa jamii""",Normal
"""Furaha kubwa""",Normal
"""Ushirikiano ni muhimu""",Normal
"""Kujifunza kila siku""",Normal
"""Maendeleo ya pamoja""",Normal
"""Nafasi nzuri""",Normal
"""Tafakari kuhusu maisha""",Normal
"""Rafiki wa kweli""",Normal
"""Mwalimu mzuri""",Normal
"""Ufanisi wa kazi""",Normal
"""Huyu ni mjinga""",Offensive Language
"""Kichwa cha habari""",Offensive Language
"""Wajinga wa mitandaoni""",Offensive Language
"""Pumbavu kama wewe""",Offensive Language
"""Kashfa ya kisiasa""",Offensive Language
"""Mkatili wa mtaa""",Offensive Language
"""Ujinga wa wazi""",Offensive Language
"""Chuki na dhuluma""",Offensive Language
"""Mpumbavu kabisa""",Offensive Language
"""Kichaa wa mitandao""",Offensive Language
"""Chuki ya kikabila""",Hate Speech
"""Wanaume wa kabila""",Hate Speech
"""Wanafunzi wa chuki""",Hate Speech
"""Wakabila ni wabaguzi""",Hate Speech
"""Vikundi vya chuki""",Hate Speech
"""Waasi wa jamii""",Hate Speech
"""Wachawi wa kisiasa""",Hate Speech
"""Wanaume hawastahili""",Hate Speech
"""Vikosi vya ghasia""",Hate Speech
"""Nafasi nzuri""",Normal
"""Ushirikiano wa dhati""",Normal
"""Furaha kubwa""",Normal
"""Maendeleo ya jamii""",Normal
"""Watu wazuri""",Normal
"""Kujifunza pamoja""",Normal
"""Sawa kabisa""",Normal
"""Msaada wa haraka""",Normal
"""Kujitambua vizuri""",Normal
"""Tafakari kwa kina""",Normal
"""Huyu ni mjinga""",Offensive Language
"""Kichwa ngumu""",Offensive Language
"""Mtu mpumbavu""",Offensive Language
"""Wajinga wengi""",Offensive Language
"""Kashfa kubwa""",Offensive Language
"""Ujinga wa kisiasa""",Offensive Language
"""Chuki kali""",Offensive Language
"""Mchokozi wa mitandao""",Offensive Language
"""Kukashifu hadharani""",Offensive Language
"""Huyu ni kipande""",Offensive Language
"""Chuki za kikabila""",Hate Speech
"""Wanaume wabaguzi""",Hate Speech
"""Wanafunzi wa kabila""",Hate Speech
"""Vikundi vya chuki""",Hate Speech
"""Watu waasi""",Hate Speech
"""Wachawi wa kisiasa""",Hate Speech
"""Vikosi vya uhalifu""",Hate Speech
"""Wanaume wanyanyasaji""",Hate Speech
"""Mchokozi wa umma""",Hate Speech
"""Nafasi nzuri""",Normal
"""Msaada wa haraka""",Normal
"""Furaha kubwa""",Normal
"""Maendeleo ya jamii""",Normal
